料理名,エネルギー,塩分,想定人数,材料,分量,手順
本格酸辣湯      ,95 kcal,3.2 g,4人分,豚薄切り肉,80g,1豚肉はひと口大に切る。
,,,,絹ごし豆腐,1/3丁,2豆腐は軽く水きりをし、タテ３等分にし短冊切りにする。
,,,,ゆでたけのこ,80g,3たけのこはくし形切りにし、きくらげはもどして（時間外）せん切りにする。にんじんは短冊切りにし、かためにゆでる。わけぎは斜め切りにする。
,,,,にんじん,1/3本,4鍋にＡを入れて火にかけ、煮立ったら、（１）の豚肉、（３）のたけのこ・きくらげ・にんじんを加えて煮る。
,,,,きくらげ,2枚,5野菜に火が通ったらアクを取り、Ｂで味つけしてＣの水溶き片栗粉でとろみをつける。（２）の豆腐を加え、溶き卵を流し入れて酢を加え、（３）のわけぎを散らす。
,,,,わけぎ,1本
,,,,溶き卵,1個分
,,,,水,5カップ
,,,,「丸鶏がらスープ」,大さじ1・1/2
,,,,しょうゆ,大さじ1
,,,,「瀬戸のほんじお」,小さじ1
,,,,こしょう,少々
,,,,水,大さじ1・1/2
,,,,片栗粉,大さじ1・1/2
,,,,酢,大さじ1
,,,,
