料理名,エネルギー,塩分,想定人数,材料,分量,手順
れんこんの肉詰め揚げ      ,178 kcal,0.5 g,4人分,れんこん,1節,1れんこんは皮をむいて５ｍｍ厚さの輪切りにし、酢水（分量外）にさらす。
,,,,豚ひき肉,100g,2むきえびは背ワタを取り、包丁でたたいてすり身にする。
,,,,むきえび（小）,100g,3ボウルにひき肉、（２）のすり身、Ａを加え、よく練る。
,,,,卵白,1/2個分,4別ボウルに卵白を入れ、Ｂを加え混ぜ合わせ、中華衣を作る。
,,,,酒,大さじ1,5（１）のれんこんの水気を拭いて片栗粉を薄くふり、（３）の具を塗る。もう１枚のれんこんではさみ、れんこんの穴に具がいきわたるように詰める。
,,,,片栗粉,小さじ1,6（５）のれんこんに（４）の中華衣をつけ、１６０℃の揚げ油でゆっくりカラッと揚げる。
,,,,しょうゆ,小さじ1/2,7器に盛ってＣを飾り、花椒塩を添える。
,,,,しょうが汁,小さじ1/2
,,,,うま味調味料「味の素®」,少々
,,,,「瀬戸のほんじお」,少々
,,,,片栗粉,適量
,,,,卵白,1・1/2個分
,,,,片栗粉,大さじ6
,,,,水,大さじ6
,,,,「AJINOMOTO大豆の油健康プラス」,適量
,,,,きゅうり・薄切り,適量
,,,,パイナップル缶・半月切り,1枚
,,,,さくらんぼ缶,2個
,,,,花椒塩,少々
,,,,
