料理名,エネルギー,塩分,想定人数,材料,分量,手順
五目チャ－ハン      ,545 kcal,3.9 g,4人分,ご飯,800g,1焼き豚・たけのこは７ｍｍ角に切る。干ししいたけは水でもどして７ｍｍ角に切る。
,,,,焼き豚,150g,2ボウルにＡを混ぜ合わせ、卵液を作る。
,,,,ゆでたけのこ,1/2本（75g）,3フライパンに油大さじ１を熱し、（２）の卵液を流し入れ、強火で手早くかき混ぜてふんわりしたいり卵を作り、器に取り出す。
,,,,干ししいたけ,4枚,4再びフライパンに油大さじ２を熱し、Ｂを炒め、（１）の焼き豚・たけのこ・干ししいたけの順に加えて炒め、塩・こしょうで下味をつける。
,,,,卵,2個,5ご飯を加えてほぐしながらよく炒め、（３）のいり卵を加えてＣで味つけし、全体に軽く混ぜ合わせる。
,,,,「瀬戸のほんじお」,小さじ1/2,6器に盛り、小ねぎを散らす。
,,,,こしょう,少々
,,,,ねぎ・みじん切り,1/3本分
,,,,しょうが・みじん切り,1かけ分
,,,,「瀬戸のほんじお」,少々
,,,,こしょう,少々
,,,,「丸鶏がらスープ」,大さじ1・1/2
,,,,酒,大さじ2
,,,,しょうゆ,小さじ2
,,,,「瀬戸のほんじお」,小さじ1/3
,,,,こしょう,少々
,,,,「AJINOMOTO大豆の油健康プラス」,大さじ3
,,,,小ねぎ・小口切り,適量
,,,,
