料理名,エネルギー,塩分,想定人数,材料,分量,手順
タイしゃぶ      ,293 kcal,3.9 g,4人分,たらばがにの足,200g,1かには食べやすい大きさに切る。えびは背ワタ、殻を取る。いかは皮をむき、格子状の切り目を入れ、食べやすい大きさに切る。かきは塩水で洗っておく。牛肉はひと口大に切る。
,,,,えび,8尾,2えのきだけは根元を切ってほぐし、ほうれん草は４等分に切る。香菜は４～５ｃｍ長さに切り、キャベツはザク切りにする。
,,,,いか,1/3杯分（120g）,3春雨はぬるま湯につけてもどし、食べやすい長さに切る。
,,,,かき（むき身）,120g,4Ａはミキサーにかける。Ｂは混ぜ合わせて、それぞれつけだれを作る。
,,,,牛肩ロース薄切り肉,100g,5鍋に「コンソメ」、水を入れて煮立て、（１）、（２）、（３）の具を加えて煮、（４）の好みのたれをつけていただく。
,,,,えのきだけ,1袋
,,,,ほうれん草,1/2束（100g）
,,,,香菜,2株
,,,,キャベツ,1/8個
,,,,緑豆春雨,100g
,,,,らっきょうの甘酢漬け・みじん切り,5個
,,,,砂糖,小さじ1/2
,,,,うま味調味料「味の素®」,少々
,,,,ナンプラー,適量
,,,,青唐がらし・みじん切り,適量
,,,,「味の素KKコンソメチキン」固形タイプ,3個
,,,,水,5カップ
,,,,
