料理名,エネルギー,塩分,想定人数,材料,分量,手順
麻婆豆腐      ,422 kcal,2.7 g,2人分,木綿豆腐,1丁（300g）,1豆腐は２ｃｍ角に切る。バットまたは皿に広げて並べ、熱湯をかけたら湯を捨てる。水が澄むまで流水を静かにかけたら、水気をきる。
,,,,豚ひき肉,100g,2フライパンにＡを入れて弱火で熱し、調味料と材料がなじむように炒める。ひき肉を加え、肉の色が変わるまで中火で炒める。
,,,,ねぎのみじん切り・大さじ2,20g,3Ｂを加えて煮立てたら、水を加えてさらに煮立てる。
,,,,しょうがのみじん切り,1かけ分,4（１）の豆腐を加えて全体を混ぜ合わせ、強火で２～３分煮、Ｃの水溶き片栗粉を加えてとろみをつけたら、ごま油を回しかける。器に盛り、香菜を散らす。
,,,,にんにくのみじん切り,1かけ分
,,,,「AJINOMOTOサラダ油」,大さじ2
,,,,「CookDo」熟成豆板醤,小さじ1（5g）
,,,,酒,大さじ1
,,,,しょうゆ,大さじ1
,,,,砂糖,小さじ2
,,,,「CookDo」甜麺醤,小さじ2（10g）
,,,,「丸鶏がらスープ」,小さじ1
,,,,水,2/3カップ
,,,,片栗粉,大さじ1
,,,,水,大さじ1
,,,,「AJINOMOTOごま油好きの純正ごま油」,小さじ1/2
,,,,香菜,少々
,,,,
