料理名,エネルギー,塩分,想定人数,材料,分量,手順
汁ビーフン      ,285 kcal,3.8 g,4人分,ビーフン,200g,1ビーフンはたっぷりの熱湯に３分ほどつけてもどし、冷水に取ってサッと洗い、ザルに上げて水気をきる。
,,,,豚薄切り肉,150g,2豚肉はひと口大に切る。白菜は葉と芯に分け、葉は約５ｃｍ長さに切り、芯の部分はそぎ切りにする。
,,,,白菜,2枚,3さやえんどうはスジを取り、にんじん、たけのこは短冊切りにする。さやえんどう、にんじんはサッとゆでる。しいたけは薄切りにする。きくらげはもどして（時間外）３等分に切る。
,,,,さやえんどう,8枚,4鍋にごま油を熱し、（２）の白菜の芯を入れて炒め、（２）の豚肉・白菜の葉、（３）の野菜を加えて炒め合わせ、Ａで味つけし、Ｂの水溶き片栗粉でとろみをつける。
,,,,しいたけ,4枚,5鍋に分量の水を入れて火にかけ、沸騰したら、Ｃを加えて味を調え、（１）のビーフンを加えてひと煮立ちさせる。
,,,,にんじん,1/4本,6器に盛り、（４）をのせる。
,,,,ゆでたけのこ,1/4本（40g）
,,,,きくらげ,2枚
,,,,おろししょうが,小さじ2
,,,,水,1カップ
,,,,酒,大さじ2
,,,,しょうゆ,小さじ1・1/2
,,,,「丸鶏がらスープ」,小さじ1/2
,,,,水,大さじ1/2
,,,,片栗粉,大さじ1/2
,,,,水,6カップ
,,,,「丸鶏がらスープ」,大さじ2
,,,,しょうゆ,小さじ1・1/2
,,,,「瀬戸のほんじお」,小さじ1
,,,,こしょう,少々
,,,,「AJINOMOTOごま油好きの純正ごま油」,小さじ1
,,,,
