料理名,エネルギー,塩分,想定人数,材料,分量,手順
たっぷり野菜の豆腐チゲ      ,295 kcal,3.4 g,4人分,木綿豆腐,2丁,1Ａを混ぜ合わせる。
,,,,豚バラ薄切り肉,100g,2豆腐・豚肉は食べやすい大きさに切る。キムチは４ｃｍ長さに切る。もやしは根を取る。玉ねぎは薄切り、にら・春菊は５ｃｍ長さに切る。　
,,,,白菜キムチ,100g,3鍋を熱し、（２）の豚肉をから炒りし、脂が出てきたら（２）のキムチ・玉ねぎを加え軽く炒め　Ｂを加え、玉ねぎがやわらかくなるまで煮る。
,,,,もやし,1袋,4豆腐を重ならないように並べ（１）をかけ、（２）の春菊を中央にのせ、フタをしてグツグツと煮、豆腐に味が含んだら、（２）のもやし・にらを加えて煮る。
,,,,玉ねぎ,1/2個（100g）
,,,,にら,1束
,,,,春菊,1/2束
,,,,しょうゆ,大さじ3
,,,,「AJINOMOTOごま油好きの純正ごま油」,大さじ1
,,,,粉唐がらし,大さじ1・1/2
,,,,ねぎ・みじん切り,大さじ1
,,,,にんにく・みじん切り,小さじ1
,,,,すりごま,少々
,,,,こしょう,少々
,,,,「丸鶏がらスープ」,小さじ2
,,,,水,2カップ
,,,,
