料理名,エネルギー,塩分,想定人数,材料,分量,手順
鶏レバ－と野菜の炒め煮      ,171 kcal,3.2 g,4人分,鶏レバー,300g,1鶏レバーは食べやすい大きさにそぎ切りにし、Ａで下味をつける。片栗粉をまぶし、油で揚げる。
,,,,酒,大さじ1,2玉ねぎは１ｃｍ幅のくし形切りにし、たけのこは薄切りにする。セロリはスジを取り、ねぎとともに５ｍｍの厚さの斜め切りにする。にら、黄にらは５ｃｍ長さに切る。
,,,,しょうゆ,小さじ2,3フライパンに油適量を熱し、（２）の玉ねぎ・たけのこ・セロリ・ねぎを炒める。（１）の鶏レバーを加えてさらに炒め、Ｂを加えて味を含ませる。
,,,,「丸鶏がらスープ」,小さじ2,4（２）のにら・黄にらを加えてサッと炒め、ごま油を加える。
,,,,片栗粉,大さじ2
,,,,玉ねぎ,1個
,,,,ゆでたけのこ,80g
,,,,セロリ・大,1/2本
,,,,ねぎ,1/2本
,,,,にら,1/4束
,,,,黄にら,1/4束
,,,,しょうゆ,大さじ3
,,,,酒,大さじ2
,,,,砂糖,小さじ2
,,,,「AJINOMOTOごま油好きの純正ごま油」,小さじ1・1/2
,,,,うま味調味料「味の素®」,少々
,,,,こしょう,少々
,,,,「AJINOMOTO大豆の油健康プラス」,適量
,,,,「AJINOMOTOごま油好きの純正ごま油」,少々
,,,,
